cart_id,t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u
2,5.2900,swingup,6.00,2.1763,-2.1626,-24.59,93.00,-2.5299,-1.7229,-8.2666
1,5.3900,swingup,-6.00,-3.7690,-4.5174,-152.30,-167.11,2.3158,-2.2589,9.6520
2,5.3900,swingup,6.00,1.9446,-2.1535,16.49,164.27,-3.0973,0.6971,-14.5814
1,5.4900,swingup,-6.00,-4.1730,-3.3152,-139.80,-173.15,2.0844,0.2012,17.7565
2,5.4900,swingup,6.00,1.6988,-2.3760,85.19,-131.10,0.1947,1.9560,-2.2263
1,5.5900,swingup,-6.00,-4.4271,-1.5210,-129.19,-160.47,1.5167,-2.2825,22.8137
2,5.5900,swingup,6.00,1.4905,-1.7406,155.85,-124.59,-0.1144,0.8085,-2.1075
1,5.6900,swingup,-6.00,-4.4871,0.5358,-124.70,-125.36,0.3493,1.1035,24.5197
2,5.6900,swingup,6.00,1.2358,-3.3205,-129.49,164.70,2.9640,-3.1375,-17.6089
1,5.7900,swingup,-6.00,-4.3648,1.8214,-118.84,-88.43,1.6487,-1.0921,9.1854
2,5.7900,swingup,6.00,0.8865,-3.1623,-92.55,130.73,-0.7610,2.6413,12.2059
1,5.8900,swingup,-6.00,-4.1576,2.3320,-108.45,-66.58,1.7227,2.8332,5.5356
2,5.8900,swingup,6.00,0.6099,-2.3102,-64.27,119.48,-2.0607,-1.1988,9.5967
1,5.9900,swingup,-6.00,-3.9092,2.6142,-101.63,-54.99,0.6159,1.5359,1.6849
2,5.9900,swingup,6.00,0.4257,-0.9231,-49.51,111.75,0.7609,-1.7018,18.3522
1,6.0900,swingup,-6.00,-3.6452,2.6332,-103.29,-47.90,-1.0694,1.0443,-0.3524
2,6.0900,swingup,6.00,0.3972,0.3039,-55.94,100.56,-2.4172,-2.0877,7.9049
1,6.1900,swingup,-6.00,-3.3839,2.6243,-114.72,-44.26,-2.6957,0.1070,2.4594
2,6.1900,swingup,6.00,0.4763,1.4591,-79.72,84.93,0.5852,2.7269,12.3323
1,6.2900,swingup,-6.00,-3.1416,1.7046,-136.91,-47.41,0.9668,-0.8744,-11.5206
2,6.2900,swingup,6.00,0.6539,2.1533,-120.50,59.32,-1.7235,1.2963,15.8792
