cart_id,t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u
1,7.4900,swingup,-6.00,-2.0530,0.3308,173.39,-125.33,1.5680,1.9453,-18.5523
2,7.4900,swingup,6.00,2.8253,3.3730,-173.60,4.97,-2.4525,-1.1091,2.8747
1,7.5900,swingup,-6.00,-2.0906,-0.9358,146.90,-94.59,1.6072,-2.9331,-4.0120
2,7.5900,swingup,6.00,3.1667,3.3578,172.66,-1.17,-2.4110,-0.9469,-3.5127
1,7.6900,swingup,-6.00,-2.1866,-0.8368,121.52,-85.55,2.2799,0.5010,3.5372
2,7.6900,swingup,6.00,3.4821,2.8079,158.45,-4.00,-2.5285,0.0419,-9.5299
1,7.7900,swingup,-6.00,-2.2301,0.4056,106.01,-83.79,-1.2685,0.5997,16.7151
2,7.7900,swingup,6.00,3.7173,1.6825,143.92,3.11,-2.5384,2.4755,-16.0345
1,7.8900,swingup,-6.00,-2.1352,1.4501,107.34,-78.95,1.3444,0.9520,6.0051
2,7.8900,swingup,6.00,3.8248,0.3648,128.69,27.75,-2.9260,-0.4556,-13.7151
1,7.9900,swingup,-6.00,-1.9767,1.5481,120.99,-74.15,2.9894,0.5498,-7.5128
2,7.9900,swingup,6.00,3.7620,-1.5913,98.68,83.36,-1.8467,1.5189,-16.0950
1,8.0900,swingup,-6.00,-1.8560,0.6894,137.27,-77.26,2.4279,-1.6797,-11.7704
2,8.0900,swingup,6.00,3.5881,-2.2561,69.98,152.50,-0.9912,3.0490,-14.6395
1,8.1900,swingup,-6.00,-1.8303,-0.2655,148.06,-95.28,1.5576,1.9858,-10.0547
2,8.1900,swingup,6.00,3.3239,-3.0277,84.29,-156.86,-1.2091,2.2433,-5.8832
1,8.2900,swingup,-6.00,-1.9018,-1.3526,157.33,-128.18,1.8486,-0.8274,-15.5585
2,8.2900,swingup,6.00,3.0086,-3.3287,124.90,-117.90,1.7148,-1.9310,-10.2176
1,8.3900,swingup,-6.00,-2.1188,-3.4306,172.20,174.64,2.9763,-0.0420,-27.0947
2,8.3900,swingup,6.00,2.6418,-4.0671,168.59,-119.02,1.1645,2.4850,-8.0856
1,8.4900,swingup,-6.00,-2.4905,-3.0541,175.85,113.82,-0.2817,-2.2186,19.6104
2,8.4900,swingup,6.00,2.1815,-5.4067,-145.81,-164.89,1.1714,2.7607,2.9057
1,8.5900,swingup,-6.00,-2.7197,-1.5572,175.14,73.04,0.0224,-0.0045,9.4903
2,8.5900,swingup,6.00,1.6971,-3.6710,-115.81,163.80,-1.8590,-1.9952,25.2093
1,8.6900,swingup,-6.00,-2.8405,-0.8904,176.09,40.71,0.2804,1.0960,3.7357
2,8.6900,swingup,6.00,1.4176,-1.9054,-93.10,171.13,-2.9392,-2.7872,14.3921
1,8.7900,swingup,-6.00,-2.9171,-0.6742,178.49,13.53,0.5195,1.8495,0.6424
2,8.7900,swingup,6.00,1.2793,-0.7621,-83.14,-159.65,0.1085,-0.0883,10.6093
