t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u,ke,pe
7.8900,swingup,3.00,-2.2610,3.5982,-104.02,-85.83,-1.6227,-0.8767,6.9540,0.1092,-1.6735
7.9900,swingup,3.00,-1.8774,4.1332,-116.30,-94.70,-2.4569,-2.2048,7.7690,0.3376,-1.9464
8.0900,swingup,3.00,-1.4370,4.7933,-130.46,-113.35,-2.2813,2.0909,9.8313,0.0708,-2.3025
8.1900,swingup,3.00,-0.9297,5.3673,-142.24,-142.18,-2.0295,0.8503,7.7867,0.0689,-2.6346
8.2900,swingup,3.00,-0.3635,6.1179,-155.36,-170.92,-2.4917,1.9450,11.5864,0.0858,-2.8475
8.3900,swingup,3.00,0.2893,6.9008,-170.29,170.70,-2.7587,-2.3289,6.2923,0.4099,-2.9225
8.4900,swingup,3.00,1.0024,7.3321,173.90,162.43,-2.7432,-0.8375,1.1260,0.2532,-2.9146
8.5900,swingup,3.00,1.7345,7.1887,157.97,159.84,-2.8277,-0.3142,-6.2614,0.2233,-2.8413
8.6900,swingup,3.00,2.4208,6.3095,141.47,155.87,-2.9035,-1.2619,-16.1092,0.3194,-2.6865
8.7900,swingup,3.00,2.9791,4.5874,125.47,141.12,-2.5658,2.4777,-23.7618,0.0883,-2.4226
8.8900,swingup,3.00,3.3433,2.4262,113.27,112.05,-1.9056,0.6053,-28.5634,0.0665,-2.0432
8.9900,swingup,3.00,3.4885,0.3007,100.76,84.17,-2.4807,2.5164,-25.3763,0.0834,-1.6048
9.0900,swingup,3.00,3.4287,-1.6545,86.64,71.42,-2.1985,-1.1090,-21.5378,0.1950,-1.2577
9.1900,swingup,3.00,3.1895,-3.1817,79.00,69.68,-0.4870,0.1472,-13.3352,0.0044,-1.1140
9.2900,swingup,3.00,2.8286,-3.9989,82.64,71.98,1.5278,0.5622,-5.4810,0.0834,-1.1941
9.3900,swingup,3.00,2.4124,-4.3191,96.97,76.67,-3.0619,1.1357,0.5538,0.1690,-1.4774
9.4900,swingup,3.00,1.9975,-3.8145,120.77,85.81,-1.3638,2.1365,6.2795,0.0439,-1.9375
9.5900,swingup,3.00,1.6498,-3.0751,152.18,107.23,-0.6446,-0.7690,6.5284,0.0265,-2.4844
9.6900,swingup,3.00,1.3918,-1.7253,-178.54,156.26,-1.8393,-1.1556,22.5826,0.1493,-2.9012
9.7900,swingup,3.00,1.3105,-0.3864,-150.79,-128.16,-0.0456,-0.6446,-8.3846,0.0059,-2.6308
9.8900,swingup,3.00,1.2025,-1.8629,-110.17,-79.98,1.1280,-0.3236,-5.6705,0.0252,-1.7244
9.9900,swingup,3.00,0.9847,-2.3917,-67.35,-58.24,1.0617,2.4631,3.1348,0.1686,-0.8355
10.0900,swingup,3.00,0.7451,-2.3448,-29.88,-45.02,-0.5608,2.5913,2.8578,0.0567,-0.2742
10.1900,swingup,3.00,0.5221,-2.0440,-2.45,-27.65,-2.1689,-3.0156,3.9993,0.3792,-0.0569
10.2900,lqr,3.00,0.3474,-0.6890,16.26,-9.59,1.7470,2.6908,25.6372,0.4826,-0.0363
10.3900,lqr,3.00,0.3812,1.5074,17.15,-0.45,-0.9871,0.7320,19.5160,0.4826,-0.0363
10.4900,lqr,3.00,0.5935,2.4802,6.86,0.24,-1.9865,-0.1756,-1.0570,0.4826,-0.0363
10.5900,lqr,3.00,0.8271,2.0936,-1.69,-1.43,-1.0532,-0.3314,-4.8144,0.4826,-0.0363
10.6900,lqr,3.00,1.0159,1.6516,-5.33,-3.08,-0.3500,-0.2292,-4.1144,0.4826,-0.0363
10.7900,lqr,3.00,1.1647,1.3113,-5.97,-3.88,0.0468,-0.0680,-2.9173,0.4826,-0.0363
10.8900,lqr,3.00,1.2852,1.0991,-5.07,-3.86,0.2164,0.0507,-1.6214,0.4826,-0.0363
10.9900,lqr,3.00,1.3899,0.9987,-3.72,-3.37,0.2362,0.1054,-0.6699,0.4826,-0.0363
11.0900,lqr,3.00,1.4880,0.9699,-2.51,-2.73,0.1841,0.1095,-0.1284,0.4826,-0.0363
11.1900,lqr,3.00,1.5851,0.9767,-1.68,-2.18,0.1114,0.0844,0.1024,0.4826,-0.0363
11.2900,lqr,3.00,1.6836,0.9944,-1.26,-1.80,0.0441,0.0483,0.1294,0.4826,-0.0363
11.3900,lqr,3.00,1.7837,1.0081,-1.18,-1.64,-0.0067,0.0134,0.0394,0.4826,-0.0363
11.4900,lqr,3.00,1.8847,1.0100,-1.33,-1.65,-0.0390,-0.0140,-0.1032,0.4826,-0.0363
11.5900,lqr,3.00,1.9853,0.9977,-1.61,-1.80,-0.0551,-0.0317,-0.2558,0.4826,-0.0363
11.6900,lqr,3.00,2.0840,0.9718,-1.94,-2.01,-0.0591,-0.0404,-0.3942,0.4826,-0.0363
11.7900,lqr,3.00,2.1796,0.9342,-2.27,-2.25,-0.0549,-0.0418,-0.5074,0.4826,-0.0363
11.8900,lqr,3.00,2.2710,0.8876,-2.56,-2.48,-0.0462,-0.0381,-0.5925,0.4826,-0.0363
11.9900,lqr,3.00,2.3574,0.8347,-2.79,-2.67,-0.0353,-0.0313,-0.6509,0.4826,-0.0363
12.0900,lqr,3.00,2.4383,0.7777,-2.96,-2.83,-0.0239,-0.0229,-0.6863,0.4826,-0.0363
12.1900,lqr,3.00,2.5134,0.7185,-3.06,-2.93,-0.0131,-0.0140,-0.7025,0.4826,-0.0363
12.2900,lqr,3.00,2.5826,0.6587,-3.10,-2.98,-0.0035,-0.0055,-0.7036,0.4826,-0.0363
12.3900,lqr,3.00,2.6458,0.5994,-3.10,-2.99,0.0048,0.0022,-0.6929,0.4826,-0.0363
12.4900,lqr,3.00,2.7031,0.5415,-3.05,-2.96,0.0117,0.0089,-0.6732,0.4826,-0.0363
12.5900,lqr,3.00,2.7547,0.4856,-2.96,-2.89,0.0173,0.0146,-0.6466,0.4826,-0.0363
12.6900,lqr,3.00,2.8009,0.4323,-2.85,-2.79,0.0217,0.0192,-0.6150,0.4826,-0.0363
12.7900,lqr,3.00,2.8418,0.3820,-2.71,-2.67,0.0251,0.0227,-0.5797,0.4826,-0.0363
12.8900,lqr,3.00,2.8778,0.3347,-2.56,-2.53,0.0275,0.0254,-0.5420,0.4826,-0.0363
12.9900,lqr,3.00,2.9093,0.2908,-2.40,-2.38,0.0291,0.0273,-0.5028,0.4826,-0.0363
13.0900,lqr,3.00,2.9365,0.2503,-2.23,-2.22,0.0300,0.0285,-0.4630,0.4826,-0.0363
13.1900,lqr,3.00,2.9599,0.2131,-2.05,-2.05,0.0304,0.0290,-0.4232,0.4826,-0.0363
13.2900,lqr,3.00,2.9796,0.1794,-1.88,-1.88,0.0302,0.0291,-0.3841,0.4826,-0.0363
13.3900,lqr,3.00,2.9962,0.1489,-1.71,-1.72,0.0296,0.0287,-0.3460,0.4826,-0.0363
13.4900,lqr,3.00,3.0098,0.1215,-1.54,-1.56,0.0287,0.0279,-0.3094,0.4826,-0.0363
13.5900,lqr,3.00,3.0208,0.0972,-1.38,-1.40,0.0275,0.0269,-0.2746,0.4826,-0.0363
13.6900,lqr,3.00,3.0296,0.0757,-1.23,-1.25,0.0261,0.0257,-0.2418,0.4826,-0.0363
13.7900,lqr,3.00,3.0363,0.0569,-1.08,-1.11,0.0245,0.0242,-0.2111,0.4826,-0.0363
13.8900,lqr,-3.00,3.0320,-0.4142,0.62,-0.97,0.9376,0.0177,-1.5951,0.4826,-0.0363
13.9900,lqr,-3.00,3.0057,0.1268,4.23,-1.55,0.0877,-0.2491,9.1527,0.4826,-0.0363
14.0900,lqr,-3.00,3.0560,0.8874,0.61,-4.28,-1.1197,-0.6492,4.6787,0.4826,-0.0363
14.1900,lqr,-3.00,3.1579,1.0717,-7.32,-8.76,-1.4818,-0.8554,-1.3272,0.4826,-0.0363
14.2900,lqr,-3.00,3.2555,0.7940,-15.44,-13.73,-1.3187,-0.8489,-5.0925,0.4826,-0.0363
14.3900,lqr,-3.00,3.3108,0.2047,-21.85,-18.06,-0.9259,-0.6495,-8.2930,0.4826,-0.0363
14.4900,lqr,-3.00,3.2947,-0.6474,-25.39,-20.70,-0.3376,-0.2882,-10.6381,0.4826,-0.0363
14.5900,lqr,-3.00,3.1866,-1.6018,-25.19,-21.04,0.3291,0.1205,-9.9356,0.4826,-0.0363
14.6900,lqr,-3.00,2.9903,-2.3395,-21.81,-19.38,0.7414,0.4025,-6.1439,0.4826,-0.0363
14.7900,lqr,-3.00,2.7363,-2.7343,-17.36,-16.64,0.7615,0.5166,-3.2081,0.4826,-0.0363
14.8900,lqr,-3.00,2.4526,-2.9427,-13.39,-13.61,0.6317,0.5306,-2.0766,0.4826,-0.0363
14.9900,lqr,-3.00,2.1516,-3.0869,-10.13,-10.64,0.5239,0.5041,-1.5955,0.4826,-0.0363
15.0900,lqr,-3.00,1.8376,-3.1993,-7.35,-7.87,0.4620,0.4685,-1.2069,0.4826,-0.0363
15.1900,lqr,-3.00,1.5137,-3.2803,-4.81,-5.29,0.4282,0.4348,-0.7778,0.4826,-0.0363
15.2900,lqr,-3.00,1.1834,-3.3244,-2.44,-2.90,0.4042,0.4035,-0.3040,0.4826,-0.0363
15.3900,lqr,-3.00,0.8504,-3.3280,-0.20,-0.69,0.3788,0.3720,0.1846,0.4826,-0.0363
15.4900,lqr,-3.00,0.5190,-3.2907,1.88,1.34,0.3469,0.3378,0.6550,0.4826,-0.0363
15.5900,lqr,-3.00,0.1930,-3.2148,3.74,3.16,0.3081,0.3000,1.0815,0.4826,-0.0363
15.6900,lqr,-3.00,-0.1238,-3.1051,5.37,4.75,0.2637,0.2590,1.4470,0.4826,-0.0363
15.7900,lqr,-3.00,-0.4283,-2.9671,6.73,6.10,0.2164,0.2159,1.7423,0.4826,-0.0363
15.8900,lqr,-3.00,-0.7180,-2.8073,7.82,7.20,0.1687,0.1724,1.9647,0.4826,-0.0363
15.9900,lqr,-3.00,-0.9909,-2.6319,8.64,8.05,0.1230,0.1301,2.1173,0.4826,-0.0363
16.0900,lqr,-3.00,-1.2458,-2.4465,9.21,8.67,0.0810,0.0905,2.2073,0.4826,-0.0363
16.1900,lqr,-3.00,-1.4819,-2.2563,9.56,9.07,0.0438,0.0547,2.2439,0.4826,-0.0363
16.2900,lqr,-3.00,-1.6990,-2.0654,9.71,9.28,0.0117,0.0231,2.2370,0.4826,-0.0363
16.3900,lqr,-3.00,-1.8970,-1.8770,9.69,9.33,-0.0151,-0.0040,2.1957,0.4826,-0.0363
16.4900,lqr,-3.00,-2.0764,-1.6937,9.53,9.23,-0.0371,-0.0267,2.1278,0.4826,-0.0363
16.5900,lqr,-3.00,-2.2378,-1.5173,9.26,9.02,-0.0548,-0.0453,2.0397,0.4826,-0.0363
16.6900,lqr,-3.00,-2.3819,-1.3494,8.90,8.71,-0.0686,-0.0601,1.9365,0.4826,-0.0363
16.7900,lqr,-3.00,-2.5096,-1.1909,8.47,8.33,-0.0790,-0.0715,1.8226,0.4826,-0.0363
16.8900,lqr,-3.00,-2.6219,-1.0425,7.99,7.89,-0.0866,-0.0800,1.7015,0.4826,-0.0363
16.9900,lqr,-3.00,-2.7199,-0.9047,7.48,7.41,-0.0916,-0.0858,1.5761,0.4826,-0.0363
17.0900,lqr,-3.00,-2.8045,-0.7778,6.95,6.91,-0.0944,-0.0895,1.4491,0.4826,-0.0363
17.1900,lqr,-3.00,-2.8770,-0.6616,6.40,6.39,-0.0953,-0.0911,1.3227,0.4826,-0.0363
17.2900,lqr,-3.00,-2.9383,-0.5561,5.86,5.87,-0.0947,-0.0912,1.1986,0.4826,-0.0363
17.3900,lqr,-3.00,-2.9896,-0.4609,5.32,5.35,-0.0927,-0.0899,1.0783,0.4826,-0.0363
17.4900,lqr,-3.00,-3.0317,-0.3758,4.80,4.84,-0.0898,-0.0875,0.9631,0.4826,-0.0363
17.5900,lqr,-3.00,-3.0658,-0.3001,4.30,4.35,-0.0859,-0.0842,0.8536,0.4826,-0.0363
17.6900,lqr,-3.00,-3.0928,-0.2334,3.82,3.88,-0.0815,-0.0802,0.7507,0.4826,-0.0363
17.7900,lqr,-3.00,-3.1134,-0.1751,3.37,3.43,-0.0766,-0.0757,0.6547,0.4826,-0.0363
17.8900,lqr,-3.00,-3.1286,-0.1245,2.94,3.02,-0.0714,-0.0708,0.5658,0.4826,-0.0363
17.9900,lqr,-3.00,-3.1390,-0.0812,2.55,2.63,-0.0660,-0.0658,0.4842,0.4826,-0.0363
